sample	bam	group	color
WT-2	{path_to_the_alignments_directory}/WT2_OE/WT2_OE.Aligned.out.sorted.bam	WT	#000000
WT-3	{path_to_the_alignments_directory}/WT3_OE/WT3_OE.Aligned.out.sorted.bam	WT	#000000
25-OE-2	{path_to_the_alignments_directory}/CF1m25_OE_2/CF1m25_OE_2.Aligned.out.sorted.bam	CF1m25_OE	#0000cd
25-OE-3	{path_to_the_alignments_directory}/CF1m25_OE_3/CF1m25_OE_3.Aligned.out.sorted.bam	CF1m25_OE	#0000cd
25-KD-2	{path_to_the_alignments_directory}/CF1m25_KD_2/CF1m25_KD_2.Aligned.out.sorted.bam	CF1m25_KD	#ff6347
25-KD-3	{path_to_the_alignments_directory}/CF1m25_KD_3/CF1m25_KD_3.Aligned.out.sorted.bam	CF1m25_KD	#ff6347
68-OE-2	{path_to_the_alignments_directory}/CF1m68_OE_2/CF1m68_OE_2.Aligned.out.sorted.bam	CF1m68_OE	#00bfff
68-OE-3	{path_to_the_alignments_directory}/CF1m68_OE_3/CF1m68_OE_3.Aligned.out.sorted.bam	CF1m68_OE	#00bfff
68-KD-2	{path_to_the_alignments_directory}/CF1m68_KD_2/CF1m68_KD_2.Aligned.out.sorted.bam	CF1m68_KD	#b22222
68-KD-3	{path_to_the_alignments_directory}/CF1m68_KD_3/CF1m68_KD_3.Aligned.out.sorted.bam	CF1m68_KD	#b22222